Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Landry Fields,29:57,6,12,.500,1,3,.333,5,6,.833,2,2,4,5,2,2,0,3,18
Tyson Chandler,29:38,9,10,.900,0,0,,2,4,.500,8,9,17,2,0,1,0,0,20
Carmelo Anthony,29:38,0,7,.000,0,2,.000,1,1,1.000,0,11,11,4,0,0,1,0,1
Amare Stoudemire,28:42,7,12,.583,0,0,,4,4,1.000,2,6,8,2,0,1,0,4,18
Iman Shumpert,25:29,1,9,.111,0,0,,1,2,.500,0,5,5,2,2,1,3,2,3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jared Jeffries,26:11,3,5,.600,1,2,.500,4,4,1.000,0,0,0,0,1,1,2,4,11
Bill Walker,18:03,1,6,.167,1,5,.200,2,2,1.000,0,1,1,0,1,0,2,1,5
Mike Bibby,16:22,1,3,.333,1,3,.333,1,2,.500,0,3,3,3,0,1,1,2,4
Toney Douglas,14:39,4,7,.571,0,1,.000,1,2,.500,0,0,0,4,0,0,2,1,9
Steve Novak,6:18,3,3,1.000,3,3,1.000,0,0,,1,0,1,0,0,0,0,0,9
Jeremy Lin,5:54,2,2,1.000,0,0,,4,4,1.000,0,2,2,4,0,1,1,3,8
Jerome Jordan,5:11,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,0,2
Renaldo Balkman,3:58,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,1,3
Kemba Walker,35:41,7,17,.412,2,4,.500,6,6,1.000,0,5,5,2,0,2,4,1,22
Derrick Brown,33:05,6,13,.462,0,1,.000,3,3,1.000,2,2,4,0,2,1,0,0,15
Tyrus Thomas,31:29,1,9,.111,0,0,,2,2,1.000,2,2,4,1,2,2,3,4,4
Byron Mullens,27:37,3,8,.375,0,0,,0,0,,1,4,5,1,1,3,1,0,6
Gerald Henderson,26:43,6,14,.429,0,0,,3,4,.750,0,3,3,0,0,0,0,4,15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Boris Diaw,24:24,1,6,.167,0,3,.000,2,2,1.000,2,4,6,1,0,0,2,2,4
Matt Carroll,18:41,1,5,.200,0,2,.000,1,1,1.000,0,0,0,1,0,0,1,3,3
Cory Higgins,14:55,1,2,.500,0,0,,4,4,1.000,0,1,1,2,0,0,1,3,6
Bismack Biyombo,11:07,0,5,.000,0,0,,0,0,,1,2,3,1,0,0,1,2,0
Eduardo Najera,10:38,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,3,3
DeSagana Diop,5:40,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0
Team Totals,240,27,82,.329,3,11,.273,21,22,.955,9,24,33,10,5,8,13,22,78
